CaseID,B3,ND2,ppethm,ppeduc5,GH1,B7_a,weight_pop,worse_off
600,4,3,4,2,2,4,36936.9117,0
601,3,1,5,5,2,3,4767.07,0
602,1,3,1,3,2,2,10352.2207,1
603,2,3,1,2,1,1,20411.4205,1
604,2,2,1,3,2,2,27062.0785,1
605,4,2,1,5,1,4,16142.5632,0
606,3,3,4,3,4,2,14457.3579,0
607,3,3,5,3,3,3,11033.7386,0
608,3,2,1,2,2,4,20929.5501,0
609,3,3,1,3,1,2,16131.8983,0
610,3,3,1,3,1,3,14007.173,0
611,3,3,1,3,2,3,11402.9941,0
612,1,2,1,5,2,2,14140.9356,1
613,2,1,1,2,2,3,16024.5446,1
614,1,3,1,3,1,1,30998.7086,1
615,2,3,1,1,1,1,17327.2595,1
616,3,3,1,3,2,3,13150.606,0
617,1,3,1,2,2,2,16098.9296,1
618,2,5,1,3,2,3,17011.7611,1
619,2,2,4,3,2,1,33709.3085,1
620,3,3,4,1,2,2,23903.9541,0
621,1,3,1,3,2,2,13095.626,1
622,4,3,1,4,2,2,10965.4948,0
623,3,3,1,1,2,2,26509.7717,0
624,2,4,4,2,1,2,39421.2783,1
625,2,3,1,5,1,3,13289.8954,1
626,3,3,1,2,3,1,17709.3186,0
627,3,3,4,2,3,2,45621.6696,0
628,3,3,5,3,2,1,5528.8393,0
629,3,4,2,5,2,2,20322.4329,0
631,4,3,1,5,2,3,16093.4932,0
632,2,2,3,4,1,2,17127.8861,1
633,2,2,2,4,1,2,13186.4986,1
634,3,3,1,3,2,1,14305.0933,0
635,3,3,1,3,1,3,24347.811,0
636,2,2,1,5,1,2,16302.7652,1
637,2,3,1,2,2,2,15483.2334,1
638,2,3,1,4,2,2,16733.4566,1
639,2,3,1,2,1,2,24619.3862,1
640,3,3,1,4,2,2,20174.8978,0
641,1,3,1,4,1,2,10398.3501,1
642,3,2,1,4,1,2,15092.0511,0
643,3,3,3,4,2,3,11256.4467,0
644,3,2,1,2,1,2,16258.6986,0
645,1,3,4,5,1,1,10963.1223,1
646,2,2,2,3,4,1,34128.0984,1
647,3,2,1,3,3,4,12113.6041,0
648,1,3,1,1,2,1,20728.0943,1
649,3,3,1,4,3,2,4787.5224,0
650,2,3,1,4,1,3,13431.1949,1
651,4,3,1,2,2,2,17404.0326,0
652,3,3,1,3,2,3,16541.2304,0
653,5,3,2,5,1,3,29053.5394,0
654,1,3,1,5,1,3,16302.7652,1
655,2,3,3,5,3,2,19162.3062,1
656,3,3,1,5,2,1,13289.8954,0
657,3,3,1,3,1,1,16131.8983,0
658,4,3,1,5,1,2,20850.7995,0
659,2,1,3,4,2,2,24240.4411,1
660,2,3,1,2,2,2,23370.1537,1
661,2,2,1,2,2,3,15280.2056,1
662,3,2,1,3,2,2,25043.4142,0
663,1,3,1,5,3,1,9731.6919,1
664,2,3,1,2,2,2,20271.1524,1
665,2,1,1,3,3,2,21722.5301,1
666,4,2,1,5,3,2,23922.6348,0
667,2,2,1,3,1,3,24037.7432,1
668,2,3,1,5,1,1,12517.6437,1
669,4,1,1,5,1,3,30850.2665,0
670,3,2,5,3,2,3,5356.1705,0
671,2,3,1,2,2,1,15209.6036,1
672,3,3,1,2,2,3,22386.3929,0
673,1,3,1,3,2,3,16524.1704,1
674,3,3,1,5,1,3,14140.9356,0
675,2,3,1,5,2,2,16142.5632,1
676,3,3,1,4,2,4,20174.8978,0
677,3,3,1,3,1,3,12233.8219,0
678,3,4,4,3,3,3,22877.5538,0
679,3,5,1,3,1,2,24193.2587,0
680,3,3,1,3,1,2,13855.2246,0
681,2,3,1,2,3,1,23443.4148,1
682,3,3,1,5,1,2,13468.8729,0
683,3,2,1,1,2,2,26228.611,0
684,3,3,1,2,2,2,24377.4595,0
685,3,3,1,4,2,2,8441.2201,0
686,3,3,1,5,2,3,13090.7683,0
687,3,3,1,2,1,3,22386.3929,0
688,2,3,1,3,2,3,13613.6049,1
689,3,3,1,2,2,3,20929.5501,0
690,3,3,1,2,2,2,11611.0852,0
691,4,2,1,4,1,3,20220.9492,0
692,1,3,3,3,1,1,34784.5668,1
693,2,3,1,2,2,1,22142.6835,1
694,3,3,1,2,1,3,19240.2467,0
695,2,3,1,3,3,2,20450.9761,1
696,3,2,1,1,3,1,34139.8977,0
697,4,2,2,1,3,2,27999.4238,0
698,3,3,1,2,1,1,9870.8712,0
699,2,3,1,2,3,1,18413.5359,1
700,3,1,1,3,2,3,13992.7265,0
701,2,2,1,5,2,1,13289.8954,1
702,2,3,1,2,1,1,20250.2455,1
703,4,3,1,2,1,2,22649.1151,0
704,1,3,1,2,2,1,15051.257,1
705,3,3,1,2,2,2,18951.9634,0
706,2,2,1,2,1,2,26646.7085,1
707,4,3,1,3,1,3,11650.3249,0
708,3,3,1,3,2,2,12575.9189,0
709,5,3,1,3,2,3,20308.8895,0
710,3,3,1,5,2,2,13090.7683,0
711,3,2,5,3,2,2,6458.2427,0
712,3,2,2,3,1,3,19186.8474,0
713,3,3,1,2,2,3,18413.5359,0
714,3,2,1,5,1,2,20481.7834,0
715,3,3,1,2,1,3,30155.2989,0
716,3,3,1,4,1,2,16302.7652,0
717,3,3,1,2,3,3,16258.6986,0
718,2,3,1,2,2,1,28104.2223,1
719,3,3,1,5,3,3,13090.7683,0
720,4,3,1,4,1,3,25685.9139,0
721,2,3,1,4,2,2,13289.8954,1
722,3,1,1,4,2,1,12868.1023,0
723,2,3,1,3,2,3,20985.1095,1
724,2,3,1,5,1,2,10512.3875,1
725,2,3,1,3,1,2,13992.7265,1
726,4,3,1,3,2,1,12233.8219,0
727,2,3,1,3,1,2,13854.684,1
728,3,3,5,3,1,1,7812.2905,0
729,2,3,1,3,1,3,21938.1087,1
730,5,4,1,3,1,2,36673.3913,0
731,3,3,1,5,2,3,13289.8954,0
732,3,1,1,3,2,3,12953.5659,0
733,2,3,1,4,2,2,8441.2201,1
734,4,3,1,3,2,1,20607.1795,0
735,2,3,1,3,1,3,20617.8134,1
736,2,3,1,1,2,1,11363.5124,1
737,3,3,4,5,2,2,21359.9716,0
738,3,3,1,1,1,3,23106.4839,0
739,3,3,1,2,1,2,22386.3929,0
740,3,3,1,4,1,3,21793.3678,0
741,4,3,1,4,4,2,10880.0038,0
742,4,2,1,3,1,2,18932.1979,0
743,3,2,2,3,2,1,16792.4194,0
744,3,3,2,2,1,2,23235.1701,0
745,1,3,1,2,4,3,19990.8188,1
746,3,3,1,5,2,2,11126.108,0
747,2,3,1,4,2,1,21793.3678,1
